ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000101966	ENSG00000115317	0.90	PPI	undirected	PIA
ENSG00000101966	ENSG00000115317	0.90	PPI	undirected	PIA
ENSG00000113580	ENSG00000079819	0.40	PPI	undirected	PIA
ENSG00000188986	ENSG00000139726	0.52	PPI	undirected	PIA
ENSG00000166228	ENSG00000130724	0.40	PPI	undirected	PIA
ENSG00000154237	ENSG00000130402	0.35	PPI	undirected	PIA
ENSG00000170345	ENSG00000071462	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000128641	0.35	PPI	undirected	PIA
ENSG00000204231	ENSG00000167005	0.40	PPI	undirected	PIA
ENSG00000151967	ENSG00000115808	0.40	PPI	undirected	PIA
ENSG00000151967	ENSG00000105127	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000105127	0.35	PPI	undirected	PIA
ENSG00000177606	ENSG00000107175	0.52	PPI	undirected	PIA
ENSG00000177606	ENSG00000107175	0.52	PPI	undirected	PIA
ENSG00000153234	ENSG00000168653	0.40	PPI	undirected	PIA
ENSG00000064692	ENSG00000160145	0.46	PPI	undirected	PIA
ENSG00000064692	ENSG00000160145	0.46	PPI	undirected	PIA
ENSG00000064692	ENSG00000160145	0.46	PPI	undirected	PIA
ENSG00000094631	ENSG00000160145	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000204560	0.35	PPI	undirected	PIA
ENSG00000159363	ENSG00000104765	0.51	PPI	undirected	PIA
ENSG00000172466	ENSG00000135298	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000141127	0.35	PPI	undirected	PIA
ENSG00000066427	ENSG00000185345	0.44	PPI	undirected	PIA
ENSG00000123989	ENSG00000185345	0.58	PPI	undirected	PIA
ENSG00000100225	ENSG00000185345	0.40	PPI	undirected	PIA
ENSG00000181220	ENSG00000185345	0.59	PPI	undirected	PIA
ENSG00000126858	ENSG00000185345	0.52	PPI	undirected	PIA
ENSG00000100225	ENSG00000185345	0.62	PPI	undirected	PIA
ENSG00000126858	ENSG00000185345	0.52	PPI	undirected	PIA
ENSG00000100225	ENSG00000185345	0.62	PPI	undirected	PIA
ENSG00000158828	ENSG00000185345	0.75	PPI	undirected	PIA
ENSG00000100225	ENSG00000185345	0.62	PPI	undirected	PIA
ENSG00000140600	ENSG00000185345	0.46	PPI	undirected	PIA
ENSG00000153201	ENSG00000185345	0.64	PPI	undirected	PIA
ENSG00000153201	ENSG00000185345	0.64	PPI	undirected	PIA
ENSG00000066427	ENSG00000185345	0.44	PPI	undirected	PIA
ENSG00000100225	ENSG00000185345	0.62	PPI	undirected	PIA
ENSG00000181220	ENSG00000185345	0.59	PPI	undirected	PIA
ENSG00000066427	ENSG00000185345	0.44	PPI	undirected	PIA
ENSG00000188906	ENSG00000185345	0.40	PPI	undirected	PIA
ENSG00000181220	ENSG00000185345	0.59	PPI	undirected	PIA
ENSG00000126858	ENSG00000185345	0.52	PPI	undirected	PIA
ENSG00000112096	ENSG00000153147	0.40	PPI	undirected	PIA
ENSG00000188290	ENSG00000168280	0.40	PPI	undirected	PIA
ENSG00000118513	ENSG00000133858	0.40	PPI	undirected	PIA
ENSG00000118513	ENSG00000133858	0.40	PPI	undirected	PIA
ENSG00000160113	ENSG00000116198	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000198836	0.46	PPI	undirected	PIA
ENSG00000188906	ENSG00000198836	0.46	PPI	undirected	PIA
ENSG00000151967	ENSG00000169554	0.40	PPI	undirected	PIA
ENSG00000143418	ENSG00000054523	0.40	PPI	undirected	PIA
ENSG00000135457	ENSG00000054523	0.40	PPI	undirected	PIA
ENSG00000132170	ENSG00000145495	0.40	PPI	undirected	PIA
ENSG00000185591	ENSG00000198162	0.40	PPI	undirected	PIA
ENSG00000188342	ENSG00000198162	0.40	PPI	undirected	PIA
ENSG00000135679	ENSG00000198408	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000131504	0.35	PPI	undirected	PIA
ENSG00000134954	ENSG00000158417	0.52	PPI	undirected	PIA
ENSG00000134954	ENSG00000158417	0.52	PPI	undirected	PIA
ENSG00000113580	ENSG00000158417	0.40	PPI	undirected	PIA
ENSG00000123358	ENSG00000112514	0.52	PPI	undirected	PIA
ENSG00000124214	ENSG00000134318	0.35	PPI	undirected	PIA
ENSG00000213619	ENSG00000158864	0.67	PPI	undirected	PIA
ENSG00000139180	ENSG00000158864	0.56	PPI	undirected	PIA
ENSG00000213619	ENSG00000158864	0.67	PPI	undirected	PIA
ENSG00000158864	ENSG00000213619	0.67	PPI	undirected	PIA
ENSG00000188986	ENSG00000131773	0.52	PPI	undirected	PIA
ENSG00000188986	ENSG00000131773	0.52	PPI	undirected	PIA
ENSG00000158828	ENSG00000074266	0.60	PPI	undirected	PIA
ENSG00000158828	ENSG00000074266	0.60	PPI	undirected	PIA
ENSG00000188906	ENSG00000070018	0.54	PPI	undirected	PIA
ENSG00000159363	ENSG00000070018	0.37	PPI	undirected	PIA
ENSG00000188906	ENSG00000070018	0.54	PPI	undirected	PIA
ENSG00000084234	ENSG00000158796	0.52	PPI	undirected	PIA
ENSG00000111011	ENSG00000158796	0.40	PPI	undirected	PIA
ENSG00000032219	ENSG00000158796	0.40	PPI	undirected	PIA
ENSG00000187555	ENSG00000158796	0.40	PPI	undirected	PIA
ENSG00000131100	ENSG00000158796	0.40	PPI	undirected	PIA
ENSG00000204065	ENSG00000158796	0.40	PPI	undirected	PIA
ENSG00000135521	ENSG00000158796	0.40	PPI	undirected	PIA
ENSG00000175387	ENSG00000144028	0.40	PPI	undirected	PIA
ENSG00000170345	ENSG00000138032	0.40	PPI	undirected	PIA
ENSG00000130522	ENSG00000115840	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000104131	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000213983	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000169598	0.44	PPI	undirected	PIA
ENSG00000170653	ENSG00000105176	0.40	PPI	undirected	PIA
ENSG00000188290	ENSG00000198862	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000176658	0.35	PPI	undirected	PIA
ENSG00000134954	ENSG00000106443	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000101161	0.35	PPI	undirected	PIA
ENSG00000125618	ENSG00000171603	0.40	PPI	undirected	PIA
ENSG00000135679	ENSG00000171603	0.40	PPI	undirected	PIA
ENSG00000159363	ENSG00000174851	0.51	PPI	undirected	PIA
ENSG00000165280	ENSG00000116688	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000116688	0.46	PPI	undirected	PIA
ENSG00000188906	ENSG00000065518	0.35	PPI	undirected	PIA
ENSG00000123240	ENSG00000133318	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000132485	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000143553	0.66	PPI	undirected	PIA
ENSG00000188906	ENSG00000143553	0.66	PPI	undirected	PIA
ENSG00000104529	ENSG00000197548	0.52	PPI	undirected	PIA
ENSG00000232810	ENSG00000164609	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000013375	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000169217	0.44	PPI	undirected	PIA
ENSG00000154237	ENSG00000169217	0.44	PPI	undirected	PIA
ENSG00000170345	ENSG00000157077	0.40	PPI	undirected	PIA
ENSG00000151967	ENSG00000100591	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000183527	0.44	PPI	undirected	PIA
