ensg1	ensg2	score	interaction
ENSG00000115232	ENSG00000150093	0.68	PPI
ENSG00000100368	ENSG00000150093	0.54	PPI
ENSG00000115414	ENSG00000150093	0.49	PPI
ENSG00000164171	ENSG00000150093	0.55	PPI
ENSG00000115641	ENSG00000150093	0.51	PPI
ENSG00000162692	ENSG00000150093	0.66	PPI
ENSG00000135404	ENSG00000150093	0.46	PPI
ENSG00000196924	ENSG00000150093	0.82	PPI
ENSG00000161638	ENSG00000150093	0.67	PPI
ENSG00000137076	ENSG00000150093	0.54	PPI
ENSG00000167772	ENSG00000150093	0.54	PPI
ENSG00000167110	ENSG00000111057	0.56	PPI
ENSG00000164924	ENSG00000111057	0.67	PPI
ENSG00000102871	ENSG00000111057	0.6	PPI
ENSG00000170421	ENSG00000111057	0.86	PPI
ENSG00000162692	ENSG00000111057	0.53	PPI
ENSG00000152240	ENSG00000111057	0.56	PPI
ENSG00000269335	ENSG00000111057	0.57	PPI
ENSG00000128513	ENSG00000111057	0.49	PPI
ENSG00000204889	ENSG00000170421	0.56	PPI
ENSG00000135451	ENSG00000170421	0.45	PPI
ENSG00000001626	ENSG00000170421	0.61	PPI
ENSG00000094796	ENSG00000170421	0.56	PPI
ENSG00000269335	ENSG00000170421	0.51	PPI
ENSG00000171346	ENSG00000170421	0.56	PPI
ENSG00000100122	ENSG00000108255	0.67	PPI
ENSG00000269335	ENSG00000104327	0.58	PPI
ENSG00000127412	ENSG00000104327	0.46	PPI
ENSG00000135018	ENSG00000250361	0.56	PPI
ENSG00000168672	ENSG00000126088	0.56	PPI
ENSG00000094796	ENSG00000171105	0.56	PPI
ENSG00000179295	ENSG00000171105	0.56	PPI
ENSG00000196396	ENSG00000171105	0.98	PPI
ENSG00000124181	ENSG00000171105	0.8	PPI
ENSG00000178188	ENSG00000171105	0.48	PPI
ENSG00000160691	ENSG00000171105	0.57	PPI
ENSG00000169047	ENSG00000171105	0.7	PPI
ENSG00000185950	ENSG00000171105	0.53	PPI
ENSG00000164109	ENSG00000171105	0.46	PPI
ENSG00000145675	ENSG00000171105	0.69	PPI
ENSG00000106070	ENSG00000171105	0.58	PPI
ENSG00000135439	ENSG00000171105	0.52	PPI
ENSG00000197594	ENSG00000171105	0.52	PPI
ENSG00000069399	ENSG00000182866	0.59	PPI
ENSG00000145996	ENSG00000182866	0.56	PPI
ENSG00000027869	ENSG00000182866	0.77	PPI
ENSG00000165025	ENSG00000182866	0.75	PPI
ENSG00000065675	ENSG00000182866	0.5	PPI
ENSG00000043462	ENSG00000182866	0.56	PPI
ENSG00000118579	ENSG00000182866	0.69	PPI
ENSG00000145907	ENSG00000182866	0.52	PPI
ENSG00000182866	ENSG00000182866	0.72	PPI
ENSG00000198821	ENSG00000182866	0.61	PPI
ENSG00000147443	ENSG00000182866	0.49	PPI
ENSG00000096384	ENSG00000182866	0.52	PPI
ENSG00000113580	ENSG00000182866	0.46	PPI
ENSG00000110395	ENSG00000182866	0.75	PPI
ENSG00000135077	ENSG00000182866	0.46	PPI
ENSG00000134242	ENSG00000182866	0.78	PPI
ENSG00000115085	ENSG00000182866	0.7	PPI
ENSG00000111679	ENSG00000182866	0.62	PPI
ENSG00000143537	ENSG00000182866	0.52	PPI
ENSG00000150991	ENSG00000182866	0.54	PPI
ENSG00000107816	ENSG00000182866	0.56	PPI
ENSG00000082074	ENSG00000010810	0.82	PPI
ENSG00000170248	ENSG00000010810	0.67	PPI
ENSG00000143537	ENSG00000010810	0.59	PPI
ENSG00000118579	ENSG00000010810	0.74	PPI
ENSG00000183918	ENSG00000010810	0.57	PPI
ENSG00000135077	ENSG00000010810	0.46	PPI
ENSG00000158748	ENSG00000010810	0.63	PPI
ENSG00000213672	ENSG00000010810	0.57	PPI
ENSG00000084463	ENSG00000010810	0.56	PPI
ENSG00000116824	ENSG00000010810	0.57	PPI
ENSG00000065675	ENSG00000010810	0.66	PPI
ENSG00000110395	ENSG00000010810	0.8	PPI
ENSG00000113721	ENSG00000010810	0.64	PPI
ENSG00000153317	ENSG00000010810	0.61	PPI
ENSG00000096384	ENSG00000010810	0.52	PPI
ENSG00000120899	ENSG00000010810	0.46	PPI
ENSG00000015285	ENSG00000010810	0.7	PPI
ENSG00000163932	ENSG00000010810	0.75	PPI
ENSG00000076641	ENSG00000010810	0.62	PPI
ENSG00000050820	ENSG00000010810	0.62	PPI
ENSG00000114200	ENSG00000114200	0.62	PPI
ENSG00000091831	ENSG00000148180	0.6	PPI
ENSG00000140009	ENSG00000148180	0.46	PPI
ENSG00000116478	ENSG00000139687	0.82	PPI
ENSG00000170515	ENSG00000139687	0.52	PPI
ENSG00000118689	ENSG00000139687	0.5	PPI
ENSG00000103549	ENSG00000139687	0.51	PPI
ENSG00000198646	ENSG00000139687	0.59	PPI
ENSG00000101412	ENSG00000139687	0.95	PPI
ENSG00000257923	ENSG00000139687	0.61	PPI
ENSG00000172531	ENSG00000139687	0.77	PPI
ENSG00000105204	ENSG00000139687	0.57	PPI
ENSG00000139687	ENSG00000139687	0.67	PPI
ENSG00000157540	ENSG00000139687	0.57	PPI
ENSG00000112062	ENSG00000139687	0.62	PPI
ENSG00000187555	ENSG00000139687	0.57	PPI
ENSG00000160310	ENSG00000139687	0.54	PPI
ENSG00000126456	ENSG00000139687	0.5	PPI
ENSG00000123374	ENSG00000139687	0.62	PPI
ENSG00000205250	ENSG00000139687	0.52	PPI
ENSG00000177885	ENSG00000139687	0.61	PPI
ENSG00000185129	ENSG00000139687	0.52	PPI
ENSG00000007968	ENSG00000139687	0.66	PPI
ENSG00000149554	ENSG00000139687	0.56	PPI
ENSG00000135679	ENSG00000139687	0.64	PPI
ENSG00000107874	ENSG00000082175	0.66	PPI
ENSG00000185591	ENSG00000082175	0.46	PPI
ENSG00000168610	ENSG00000082175	0.62	PPI
ENSG00000166848	ENSG00000187514	0.51	PPI
ENSG00000119335	ENSG00000187514	0.51	PPI
ENSG00000134057	ENSG00000170312	0.92	PPI
ENSG00000145386	ENSG00000170312	0.64	PPI
ENSG00000158402	ENSG00000170312	0.5	PPI
ENSG00000173207	ENSG00000170312	0.82	PPI
ENSG00000150907	ENSG00000170312	0.65	PPI
ENSG00000127564	ENSG00000170312	0.69	PPI
ENSG00000178999	ENSG00000170312	0.46	PPI
ENSG00000124762	ENSG00000170312	0.66	PPI
ENSG00000091831	ENSG00000110955	0.53	PPI
ENSG00000164924	ENSG00000110955	0.56	PPI
ENSG00000007171	ENSG00000163220	0.46	PPI
ENSG00000004478	ENSG00000197956	0.59	PPI
ENSG00000182481	ENSG00000197956	0.61	PPI
ENSG00000139197	ENSG00000197956	0.56	PPI
ENSG00000147010	ENSG00000116824	0.62	PPI
ENSG00000198087	ENSG00000116824	0.8	PPI
ENSG00000187840	ENSG00000151247	0.96	PPI
ENSG00000148730	ENSG00000151247	0.77	PPI
ENSG00000184708	ENSG00000151247	0.84	PPI
ENSG00000138095	ENSG00000151247	0.58	PPI
ENSG00000204713	ENSG00000151247	0.56	PPI
ENSG00000114867	ENSG00000151247	0.59	PPI
ENSG00000170370	ENSG00000151247	0.59	PPI
ENSG00000151790	ENSG00000151247	0.56	PPI
ENSG00000158062	ENSG00000151247	0.56	PPI
ENSG00000197256	ENSG00000151247	0.56	PPI
ENSG00000105388	ENSG00000105388	0.68	PPI
ENSG00000102048	ENSG00000104879	0.67	PPI
ENSG00000162692	ENSG00000074800	0.53	PPI
ENSG00000164924	ENSG00000074800	0.69	PPI
ENSG00000132646	ENSG00000074800	0.57	PPI
ENSG00000170653	ENSG00000104921	0.56	PPI
ENSG00000073050	ENSG00000070501	0.55	PPI
ENSG00000134900	ENSG00000070501	0.56	PPI
ENSG00000166012	ENSG00000070501	0.54	PPI
ENSG00000136929	ENSG00000181163	0.6	PPI
ENSG00000115163	ENSG00000181163	0.6	PPI
ENSG00000161956	ENSG00000181163	0.72	PPI
ENSG00000178999	ENSG00000181163	0.63	PPI
ENSG00000135679	ENSG00000181163	0.7	PPI
ENSG00000198900	ENSG00000181163	0.46	PPI
ENSG00000091831	ENSG00000181163	0.53	PPI
ENSG00000162692	ENSG00000181163	0.53	PPI
ENSG00000135842	ENSG00000181163	0.6	PPI
ENSG00000147889	ENSG00000181163	0.56	PPI
ENSG00000170515	ENSG00000181163	0.49	PPI
ENSG00000158806	ENSG00000181163	0.56	PPI
ENSG00000132382	ENSG00000181163	0.49	PPI
ENSG00000141456	ENSG00000181163	0.56	PPI
ENSG00000164924	ENSG00000181163	0.56	PPI
ENSG00000025156	ENSG00000143549	0.56	PPI
ENSG00000171357	ENSG00000143549	0.56	PPI
ENSG00000223501	ENSG00000143549	0.56	PPI
ENSG00000157578	ENSG00000143549	0.56	PPI
ENSG00000104147	ENSG00000143549	0.56	PPI
ENSG00000002822	ENSG00000143549	0.67	PPI
ENSG00000105700	ENSG00000143549	0.67	PPI
ENSG00000171772	ENSG00000143549	0.56	PPI
ENSG00000082781	ENSG00000138448	0.5	PPI
ENSG00000120088	ENSG00000147571	0.56	PPI
ENSG00000177138	ENSG00000135919	0.56	PPI
ENSG00000147601	ENSG00000111716	0.51	PPI
ENSG00000162692	ENSG00000111716	0.53	PPI
ENSG00000139197	ENSG00000111716	0.56	PPI
ENSG00000147601	ENSG00000277586	0.51	PPI
ENSG00000146112	ENSG00000277586	0.56	PPI
ENSG00000197930	ENSG00000185624	0.66	PPI
ENSG00000034713	ENSG00000185624	0.56	PPI
ENSG00000168394	ENSG00000185624	0.5	PPI
ENSG00000182185	ENSG00000189060	0.56	PPI
ENSG00000143418	ENSG00000141505	0.65	PPI
ENSG00000244752	ENSG00000163254	0.65	PPI
ENSG00000092820	ENSG00000182511	0.68	PPI
ENSG00000162692	ENSG00000182718	0.53	PPI
ENSG00000169174	ENSG00000182718	0.61	PPI
ENSG00000076242	ENSG00000182718	0.6	PPI
ENSG00000128513	ENSG00000182718	0.51	PPI
ENSG00000169704	ENSG00000185245	0.73	PPI
ENSG00000164924	ENSG00000185245	0.53	PPI
ENSG00000203618	ENSG00000185245	0.7	PPI
ENSG00000168610	ENSG00000014216	0.51	PPI
ENSG00000092330	ENSG00000196230	0.51	PPI
ENSG00000100603	ENSG00000196230	0.53	PPI
ENSG00000102977	ENSG00000163207	0.51	PPI
ENSG00000157110	ENSG00000171209	0.56	PPI
ENSG00000221837	ENSG00000196811	0.56	PPI
ENSG00000187766	ENSG00000196811	0.56	PPI
ENSG00000272804	ENSG00000196811	0.56	PPI
ENSG00000094796	ENSG00000196811	0.56	PPI
ENSG00000264343	ENSG00000196811	0.56	PPI
ENSG00000081026	ENSG00000169252	0.62	PPI
ENSG00000197122	ENSG00000169252	0.61	PPI
ENSG00000111361	ENSG00000169252	0.46	PPI
ENSG00000113369	ENSG00000169252	0.68	PPI
ENSG00000165025	ENSG00000198851	0.6	PPI
ENSG00000131037	ENSG00000198851	0.75	PPI
ENSG00000158092	ENSG00000198851	0.74	PPI
ENSG00000080824	ENSG00000136628	0.54	PPI
ENSG00000196305	ENSG00000136628	0.72	PPI
ENSG00000076242	ENSG00000164733	0.6	PPI
ENSG00000143382	ENSG00000164733	0.54	PPI
ENSG00000080824	ENSG00000080824	0.8	PPI
ENSG00000105701	ENSG00000080824	0.56	PPI
ENSG00000004478	ENSG00000080824	0.72	PPI
ENSG00000039068	ENSG00000080824	0.5	PPI
ENSG00000110958	ENSG00000080824	0.76	PPI
ENSG00000105401	ENSG00000080824	0.89	PPI
ENSG00000132356	ENSG00000080824	0.53	PPI
ENSG00000011485	ENSG00000080824	0.71	PPI
ENSG00000136807	ENSG00000080824	0.56	PPI
ENSG00000106100	ENSG00000080824	0.59	PPI
ENSG00000145425	ENSG00000080824	0.63	PPI
ENSG00000110172	ENSG00000080824	0.68	PPI
ENSG00000005175	ENSG00000080824	0.67	PPI
ENSG00000061938	ENSG00000213930	0.56	PPI
ENSG00000184672	ENSG00000092199	0.74	PPI
ENSG00000135250	ENSG00000092199	0.52	PPI
ENSG00000092199	ENSG00000092199	0.79	PPI
ENSG00000072121	ENSG00000092199	0.56	PPI
ENSG00000164924	ENSG00000092199	0.56	PPI
ENSG00000135363	ENSG00000092199	0.56	PPI
ENSG00000198900	ENSG00000092199	0.46	PPI
ENSG00000089682	ENSG00000092199	0.74	PPI
ENSG00000135486	ENSG00000092199	0.53	PPI
ENSG00000151491	ENSG00000092199	0.56	PPI
ENSG00000116030	ENSG00000092199	0.56	PPI
ENSG00000141543	ENSG00000092199	0.53	PPI
ENSG00000143862	ENSG00000173660	0.56	PPI
ENSG00000160767	ENSG00000173660	0.56	PPI
ENSG00000101236	ENSG00000173660	0.56	PPI
ENSG00000127191	ENSG00000176105	0.56	PPI
ENSG00000157216	ENSG00000176105	0.56	PPI
ENSG00000129245	ENSG00000176105	0.56	PPI
ENSG00000118579	ENSG00000176105	0.52	PPI
ENSG00000184221	ENSG00000176105	0.57	PPI
ENSG00000069509	ENSG00000176105	0.56	PPI
ENSG00000196290	ENSG00000176105	0.56	PPI
ENSG00000160062	ENSG00000176105	0.56	PPI
ENSG00000131931	ENSG00000176105	0.56	PPI
ENSG00000126581	ENSG00000176105	0.49	PPI
ENSG00000142698	ENSG00000176105	0.56	PPI
ENSG00000175104	ENSG00000176105	0.56	PPI
ENSG00000104894	ENSG00000254087	0.5	PPI
ENSG00000125733	ENSG00000254087	0.51	PPI
ENSG00000076641	ENSG00000254087	0.64	PPI
ENSG00000166508	ENSG00000254087	0.5	PPI
ENSG00000197122	ENSG00000254087	0.56	PPI
ENSG00000110395	ENSG00000165731	0.7	PPI
ENSG00000168610	ENSG00000165731	0.56	PPI
ENSG00000264343	ENSG00000165731	0.56	PPI
ENSG00000137193	ENSG00000091483	0.56	PPI
ENSG00000188827	ENSG00000012061	0.64	PPI
ENSG00000139722	ENSG00000012061	0.56	PPI
ENSG00000188917	ENSG00000012061	0.56	PPI
ENSG00000136936	ENSG00000012061	0.57	PPI
ENSG00000179455	ENSG00000012061	0.56	PPI
ENSG00000130307	ENSG00000012061	0.56	PPI
ENSG00000138629	ENSG00000012061	0.67	PPI
ENSG00000175595	ENSG00000012061	0.5	PPI
ENSG00000106333	ENSG00000137801	0.56	PPI
ENSG00000115956	ENSG00000137801	0.46	PPI
ENSG00000023191	ENSG00000129538	0.56	PPI
ENSG00000137309	ENSG00000185591	0.54	PPI
ENSG00000172534	ENSG00000185591	0.68	PPI
ENSG00000091831	ENSG00000185591	0.56	PPI
ENSG00000181472	ENSG00000185591	0.58	PPI
ENSG00000143442	ENSG00000185591	0.51	PPI
ENSG00000168610	ENSG00000185591	0.68	PPI
ENSG00000108813	ENSG00000185591	0.6	PPI
ENSG00000100644	ENSG00000185591	0.52	PPI
ENSG00000197386	ENSG00000185591	0.51	PPI
ENSG00000143190	ENSG00000185591	0.72	PPI
ENSG00000198911	ENSG00000185591	0.63	PPI
ENSG00000154727	ENSG00000185591	0.54	PPI
ENSG00000099995	ENSG00000185591	0.51	PPI
ENSG00000155090	ENSG00000185591	0.51	PPI
ENSG00000079102	ENSG00000185591	0.52	PPI
ENSG00000120690	ENSG00000185591	0.51	PPI
ENSG00000275700	ENSG00000185591	0.54	PPI
ENSG00000196914	ENSG00000140443	0.65	PPI
ENSG00000140443	ENSG00000140443	0.66	PPI
ENSG00000166913	ENSG00000140443	0.83	PPI
ENSG00000115041	ENSG00000140443	0.56	PPI
ENSG00000196396	ENSG00000140443	0.7	PPI
ENSG00000103653	ENSG00000140443	0.57	PPI
ENSG00000145675	ENSG00000140443	0.75	PPI
ENSG00000138795	ENSG00000140443	0.58	PPI
ENSG00000108953	ENSG00000140443	0.54	PPI
ENSG00000179295	ENSG00000140443	0.62	PPI
ENSG00000104969	ENSG00000164692	0.56	PPI
ENSG00000135018	ENSG00000164692	0.56	PPI
ENSG00000111913	ENSG00000155366	0.56	PPI
ENSG00000165821	ENSG00000064300	0.58	PPI
ENSG00000107882	ENSG00000111087	0.91	PPI
ENSG00000163482	ENSG00000111087	0.59	PPI
ENSG00000078747	ENSG00000111087	0.6	PPI
ENSG00000179562	ENSG00000111087	0.56	PPI
ENSG00000134086	ENSG00000111087	0.46	PPI
ENSG00000162409	ENSG00000111087	0.56	PPI
ENSG00000121481	ENSG00000085563	0.51	PPI
ENSG00000152556	ENSG00000152556	0.57	PPI
ENSG00000141959	ENSG00000152556	0.57	PPI
ENSG00000196470	ENSG00000152556	0.56	PPI
ENSG00000080824	ENSG00000096384	0.64	PPI
ENSG00000065361	ENSG00000096384	0.56	PPI
ENSG00000030304	ENSG00000096384	0.52	PPI
ENSG00000183735	ENSG00000096384	0.59	PPI
ENSG00000127191	ENSG00000096384	0.59	PPI
ENSG00000269335	ENSG00000096384	0.67	PPI
ENSG00000135409	ENSG00000096384	0.52	PPI
ENSG00000105401	ENSG00000096384	0.83	PPI
ENSG00000178999	ENSG00000096384	0.52	PPI
ENSG00000136807	ENSG00000096384	0.56	PPI
ENSG00000106993	ENSG00000096384	0.74	PPI
ENSG00000137275	ENSG00000096384	0.59	PPI
ENSG00000105723	ENSG00000096384	0.52	PPI
ENSG00000132356	ENSG00000096384	0.56	PPI
ENSG00000141161	ENSG00000096384	0.5	PPI
ENSG00000109320	ENSG00000096384	0.56	PPI
ENSG00000135446	ENSG00000096384	0.64	PPI
ENSG00000103266	ENSG00000096384	0.74	PPI
ENSG00000092847	ENSG00000096384	0.56	PPI
ENSG00000175946	ENSG00000096384	0.64	PPI
ENSG00000107968	ENSG00000096384	0.66	PPI
ENSG00000105221	ENSG00000096384	0.52	PPI
ENSG00000112079	ENSG00000096384	0.52	PPI
ENSG00000011485	ENSG00000096384	0.64	PPI
ENSG00000110172	ENSG00000096384	0.66	PPI
ENSG00000182541	ENSG00000096384	0.52	PPI
ENSG00000182732	ENSG00000096384	0.52	PPI
ENSG00000159792	ENSG00000096384	0.52	PPI
ENSG00000078061	ENSG00000096384	0.69	PPI
ENSG00000058091	ENSG00000096384	0.52	PPI
ENSG00000007264	ENSG00000096384	0.52	PPI
ENSG00000114023	ENSG00000096384	0.54	PPI
ENSG00000010671	ENSG00000096384	0.52	PPI
ENSG00000178568	ENSG00000096384	0.52	PPI
ENSG00000184304	ENSG00000096384	0.52	PPI
ENSG00000117676	ENSG00000096384	0.56	PPI
ENSG00000106336	ENSG00000096384	0.56	PPI
ENSG00000118046	ENSG00000096384	0.52	PPI
ENSG00000000938	ENSG00000096384	0.52	PPI
ENSG00000006432	ENSG00000096384	0.52	PPI
ENSG00000177602	ENSG00000096384	0.52	PPI
ENSG00000105810	ENSG00000096384	0.52	PPI
ENSG00000169071	ENSG00000096384	0.52	PPI
ENSG00000141639	ENSG00000096384	0.52	PPI
ENSG00000185324	ENSG00000096384	0.52	PPI
ENSG00000213923	ENSG00000096384	0.52	PPI
ENSG00000183943	ENSG00000096384	0.52	PPI
ENSG00000142875	ENSG00000096384	0.56	PPI
ENSG00000036257	ENSG00000096384	0.52	PPI
ENSG00000105397	ENSG00000096384	0.52	PPI
ENSG00000178093	ENSG00000096384	0.56	PPI
ENSG00000153558	ENSG00000096384	0.56	PPI
ENSG00000110958	ENSG00000096384	0.55	PPI
ENSG00000070759	ENSG00000096384	0.52	PPI
ENSG00000119402	ENSG00000096384	0.56	PPI
ENSG00000171094	ENSG00000096384	0.52	PPI
ENSG00000185880	ENSG00000070669	0.56	PPI
ENSG00000169174	ENSG00000087245	0.62	PPI
ENSG00000094796	ENSG00000100448	0.56	PPI
ENSG00000264343	ENSG00000100448	0.56	PPI
ENSG00000010278	ENSG00000196549	0.5	PPI
ENSG00000005961	ENSG00000005961	0.8	PPI
ENSG00000068383	ENSG00000115956	0.63	PPI
ENSG00000163430	ENSG00000170458	0.66	PPI
ENSG00000176903	ENSG00000125870	0.56	PPI
ENSG00000104064	ENSG00000125870	0.56	PPI
ENSG00000132938	ENSG00000125870	0.56	PPI
ENSG00000076003	ENSG00000125870	0.56	PPI
ENSG00000131876	ENSG00000125870	0.51	PPI
ENSG00000147421	ENSG00000125870	0.56	PPI
ENSG00000019991	ENSG00000105976	0.72	PPI
ENSG00000103423	ENSG00000105976	0.46	PPI
ENSG00000110395	ENSG00000105976	0.86	PPI
ENSG00000179295	ENSG00000105976	0.61	PPI
ENSG00000164050	ENSG00000105976	0.78	PPI
ENSG00000149177	ENSG00000105976	0.73	PPI
ENSG00000197122	ENSG00000105976	0.7	PPI
ENSG00000196396	ENSG00000105976	0.71	PPI
ENSG00000198753	ENSG00000105976	0.52	PPI
ENSG00000176444	ENSG00000104852	0.51	PPI
ENSG00000162692	ENSG00000104852	0.53	PPI
ENSG00000205937	ENSG00000104852	0.56	PPI
ENSG00000135250	ENSG00000104852	0.65	PPI
ENSG00000180370	ENSG00000101336	0.52	PPI
ENSG00000264343	ENSG00000101336	0.56	PPI
ENSG00000146648	ENSG00000101336	0.57	PPI
ENSG00000132938	ENSG00000101336	0.56	PPI
ENSG00000221837	ENSG00000101336	0.56	PPI
ENSG00000204889	ENSG00000101336	0.56	PPI
ENSG00000106991	ENSG00000161638	0.56	PPI
ENSG00000179526	ENSG00000161638	0.62	PPI
ENSG00000167207	ENSG00000026025	0.72	PPI
ENSG00000198883	ENSG00000026025	0.56	PPI
ENSG00000142208	ENSG00000026025	0.71	PPI
ENSG00000141376	ENSG00000026025	0.56	PPI
ENSG00000171431	ENSG00000026025	0.67	PPI
ENSG00000170323	ENSG00000026025	0.55	PPI
ENSG00000123143	ENSG00000026025	0.56	PPI
ENSG00000026025	ENSG00000026025	0.79	PPI
ENSG00000164924	ENSG00000026025	0.56	PPI
ENSG00000241127	ENSG00000026025	0.55	PPI
ENSG00000166913	ENSG00000026025	0.46	PPI
ENSG00000101856	ENSG00000160868	0.46	PPI
ENSG00000057593	ENSG00000057593	0.59	PPI
ENSG00000117525	ENSG00000057593	0.84	PPI
ENSG00000146112	ENSG00000171345	0.56	PPI
ENSG00000116922	ENSG00000171345	0.56	PPI
ENSG00000171453	ENSG00000171345	0.56	PPI
ENSG00000135930	ENSG00000171345	0.56	PPI
ENSG00000161405	ENSG00000171345	0.56	PPI
ENSG00000124019	ENSG00000171345	0.56	PPI
ENSG00000140859	ENSG00000171345	0.56	PPI
ENSG00000184708	ENSG00000171345	0.56	PPI
ENSG00000198947	ENSG00000171345	0.5	PPI
ENSG00000172867	ENSG00000171345	0.56	PPI
ENSG00000152240	ENSG00000171345	0.56	PPI
ENSG00000145979	ENSG00000171345	0.56	PPI
ENSG00000107581	ENSG00000135480	0.58	PPI
ENSG00000091844	ENSG00000065135	0.56	PPI
ENSG00000213654	ENSG00000065135	0.56	PPI
ENSG00000092330	ENSG00000164111	0.51	PPI
ENSG00000143933	ENSG00000168028	0.49	PPI
ENSG00000092330	ENSG00000168028	0.51	PPI
ENSG00000065427	ENSG00000168028	0.62	PPI
ENSG00000160014	ENSG00000168028	0.49	PPI
ENSG00000198668	ENSG00000168028	0.49	PPI
ENSG00000077782	ENSG00000178394	0.75	PPI
ENSG00000178394	ENSG00000178394	0.59	PPI
ENSG00000167862	ENSG00000114686	0.46	PPI
ENSG00000099622	ENSG00000077312	0.56	PPI
ENSG00000205937	ENSG00000077312	0.56	PPI
ENSG00000077312	ENSG00000077312	0.55	PPI
ENSG00000101945	ENSG00000198353	0.51	PPI
ENSG00000077782	ENSG00000138685	0.8	PPI
ENSG00000066468	ENSG00000138685	0.62	PPI
ENSG00000113595	ENSG00000120075	0.56	PPI
ENSG00000092330	ENSG00000111674	0.51	PPI
ENSG00000175449	ENSG00000086506	0.56	PPI
ENSG00000170899	ENSG00000244067	0.56	PPI
ENSG00000221837	ENSG00000084207	0.56	PPI
ENSG00000062725	ENSG00000084207	0.56	PPI
ENSG00000094796	ENSG00000084207	0.56	PPI
ENSG00000272804	ENSG00000084207	0.56	PPI
ENSG00000264343	ENSG00000084207	0.56	PPI
ENSG00000264343	ENSG00000170369	0.56	PPI
ENSG00000100567	ENSG00000170369	0.56	PPI
ENSG00000182872	ENSG00000124562	0.51	PPI
ENSG00000123154	ENSG00000124562	0.51	PPI
ENSG00000122223	ENSG00000117091	0.59	PPI
ENSG00000127831	ENSG00000127831	0.69	PPI
ENSG00000124181	ENSG00000127831	0.66	PPI
ENSG00000013725	ENSG00000100097	0.56	PPI
ENSG00000128052	ENSG00000100097	0.6	PPI
ENSG00000162692	ENSG00000100097	0.53	PPI
ENSG00000170017	ENSG00000100097	0.61	PPI
ENSG00000197386	ENSG00000189403	0.56	PPI
ENSG00000113712	ENSG00000189403	0.49	PPI
ENSG00000125775	ENSG00000118245	0.56	PPI
ENSG00000155324	ENSG00000122133	0.56	PPI
ENSG00000165140	ENSG00000165140	0.78	PPI
ENSG00000171772	ENSG00000140416	0.56	PPI
ENSG00000002822	ENSG00000140416	0.56	PPI
ENSG00000105700	ENSG00000140416	0.67	PPI
ENSG00000164304	ENSG00000140416	0.56	PPI
ENSG00000105048	ENSG00000140416	0.67	PPI
ENSG00000142686	ENSG00000140416	0.56	PPI
ENSG00000167110	ENSG00000140416	0.56	PPI
ENSG00000130643	ENSG00000122705	0.61	PPI
ENSG00000092330	ENSG00000196975	0.51	PPI
ENSG00000183386	ENSG00000184371	0.56	PPI
ENSG00000264343	ENSG00000184371	0.56	PPI
ENSG00000149177	ENSG00000113721	0.72	PPI
ENSG00000117153	ENSG00000113721	0.56	PPI
ENSG00000179295	ENSG00000113721	0.91	PPI
ENSG00000145675	ENSG00000113721	0.95	PPI
ENSG00000196396	ENSG00000113721	0.71	PPI
ENSG00000141738	ENSG00000113721	0.46	PPI
ENSG00000155926	ENSG00000113721	0.46	PPI
ENSG00000087077	ENSG00000113721	0.56	PPI
ENSG00000171862	ENSG00000113721	0.7	PPI
ENSG00000127947	ENSG00000113721	0.7	PPI
ENSG00000177885	ENSG00000113721	0.46	PPI
ENSG00000124181	ENSG00000113721	0.74	PPI
ENSG00000145715	ENSG00000113721	0.64	PPI
ENSG00000253729	ENSG00000260027	0.5	PPI
ENSG00000079246	ENSG00000260027	0.6	PPI
ENSG00000196419	ENSG00000260027	0.53	PPI
ENSG00000179335	ENSG00000260027	0.56	PPI
ENSG00000162664	ENSG00000135486	0.6	PPI
ENSG00000096746	ENSG00000135486	0.66	PPI
ENSG00000015479	ENSG00000135486	0.53	PPI
ENSG00000198900	ENSG00000135486	0.46	PPI
ENSG00000091831	ENSG00000135486	0.46	PPI
ENSG00000141543	ENSG00000135486	0.53	PPI
ENSG00000121774	ENSG00000135486	0.72	PPI
ENSG00000125354	ENSG00000135486	0.5	PPI
ENSG00000116560	ENSG00000135486	0.53	PPI
ENSG00000280987	ENSG00000135486	0.53	PPI
ENSG00000162692	ENSG00000131876	0.53	PPI
ENSG00000077312	ENSG00000131876	0.67	PPI
ENSG00000198900	ENSG00000131876	0.46	PPI
ENSG00000146648	ENSG00000000938	0.51	PPI
ENSG00000182326	ENSG00000182326	0.62	PPI
ENSG00000148737	ENSG00000143799	0.46	PPI
ENSG00000165392	ENSG00000143799	0.74	PPI
ENSG00000143321	ENSG00000143799	0.46	PPI
ENSG00000079246	ENSG00000143799	0.84	PPI
ENSG00000091831	ENSG00000143799	0.46	PPI
ENSG00000131747	ENSG00000143799	0.46	PPI
ENSG00000198900	ENSG00000143799	0.46	PPI
ENSG00000137074	ENSG00000143799	0.71	PPI
ENSG00000073050	ENSG00000143799	0.67	PPI
ENSG00000105229	ENSG00000143799	0.6	PPI
ENSG00000158773	ENSG00000143799	0.56	PPI
ENSG00000143799	ENSG00000143799	0.62	PPI
ENSG00000253729	ENSG00000143799	0.53	PPI
ENSG00000245848	ENSG00000143799	0.5	PPI
ENSG00000196419	ENSG00000143799	0.69	PPI
ENSG00000169621	ENSG00000143799	0.52	PPI
ENSG00000124596	ENSG00000143799	0.6	PPI
