ensg1	ensg2	score	interaction
ENSG00000132938	ENSG00000222046	0.56	PPI
ENSG00000183386	ENSG00000222046	0.56	PPI
ENSG00000172530	ENSG00000222046	0.56	PPI
ENSG00000196290	ENSG00000164815	0.56	PPI
ENSG00000132938	ENSG00000105793	0.56	PPI
ENSG00000176903	ENSG00000105793	0.6	PPI
ENSG00000112578	ENSG00000186591	0.56	PPI
ENSG00000113013	ENSG00000106636	0.56	PPI
ENSG00000264343	ENSG00000275221	0.56	PPI
ENSG00000264343	ENSG00000278677	0.56	PPI
ENSG00000264343	ENSG00000276903	0.56	PPI
ENSG00000264343	ENSG00000196787	0.56	PPI
ENSG00000264343	ENSG00000196747	0.56	PPI
ENSG00000062725	ENSG00000275221	0.56	PPI
ENSG00000062725	ENSG00000278677	0.56	PPI
ENSG00000062725	ENSG00000276903	0.56	PPI
ENSG00000062725	ENSG00000196787	0.56	PPI
ENSG00000062725	ENSG00000196747	0.56	PPI
ENSG00000204889	ENSG00000157322	0.56	PPI
ENSG00000264343	ENSG00000157322	0.56	PPI
ENSG00000183283	ENSG00000167987	0.56	PPI
ENSG00000198373	ENSG00000167987	0.56	PPI
ENSG00000142698	ENSG00000167987	0.56	PPI
ENSG00000138180	ENSG00000167987	0.48	PPI
ENSG00000167110	ENSG00000167987	0.56	PPI
ENSG00000120896	ENSG00000167987	0.56	PPI
ENSG00000185002	ENSG00000167987	0.56	PPI
ENSG00000135249	ENSG00000167987	0.56	PPI
ENSG00000188313	ENSG00000167987	0.56	PPI
ENSG00000100567	ENSG00000167987	0.56	PPI
ENSG00000105323	ENSG00000167987	0.56	PPI
ENSG00000168175	ENSG00000167987	0.56	PPI
ENSG00000054965	ENSG00000167987	0.56	PPI
ENSG00000249915	ENSG00000167987	0.56	PPI
ENSG00000115145	ENSG00000167987	0.56	PPI
ENSG00000185359	ENSG00000167987	0.56	PPI
ENSG00000013810	ENSG00000167987	0.56	PPI
ENSG00000100109	ENSG00000167987	0.56	PPI
ENSG00000074319	ENSG00000167987	0.56	PPI
ENSG00000101966	ENSG00000167987	0.56	PPI
ENSG00000160199	ENSG00000167987	0.56	PPI
ENSG00000157110	ENSG00000167987	0.56	PPI
ENSG00000154556	ENSG00000167987	0.56	PPI
ENSG00000141985	ENSG00000167987	0.56	PPI
ENSG00000090905	ENSG00000125107	0.5	PPI
ENSG00000078687	ENSG00000125107	0.64	PPI
