Gene1,Gene2,Int Alz PPI(d),Int Alz PPI(j),Int all PPI(d),Int all PPI(j),CoExp(d),CoExp(j),Int syn(d),Int syn(j),Int Par PPI(d),Int Par PPI(j),Dif Co(d),Dif Co(j),Alz ptw 1,Alz ptw 2,Alz DISEASES 1,Alz DISEASES 2
ENSG00000182606,ENSG00000122180,0,0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000133466,ENSG00000203950,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000100201,ENSG00000204531,0,0,0.25,0.0,0.0,0.0,0,0,0,0,0,0,False,False,False,False
ENSG00000128185,ENSG00000035928,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000173465,ENSG00000095066,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000157601,ENSG00000122386,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000183640,ENSG00000105699,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000170421,ENSG00000166938,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000160307,ENSG00000121022,0,0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,True,False
ENSG00000258890,ENSG00000033867,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000156787,ENSG00000161973,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000164330,ENSG00000168237,0,0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000111716,ENSG00000214274,0,0,0.2,0.0,0.0,0.0,0,0,0,0,0,0,False,False,False,False
ENSG00000176723,ENSG00000141505,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000184304,ENSG00000140859,0,0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000169953,ENSG00000083520,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000158869,ENSG00000111364,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000134086,ENSG00000177283,0,0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000166508,ENSG00000127445,0,0,0.5,0.038461538461538464,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000129534,ENSG00000127412,0,0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000125484,ENSG00000125814,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000147127,ENSG00000109339,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000105705,ENSG00000178999,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000173805,ENSG00000175029,0,0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000119729,ENSG00000108395,0,0,0.3333333333333333,0.0,0.09090909090909091,0.0,0,0,0,0,0,0,False,False,False,False
ENSG00000083099,ENSG00000204305,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000171988,ENSG00000069509,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000155313,ENSG00000122188,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000165417,ENSG00000170631,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000164975,ENSG00000174775,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000135336,ENSG00000140750,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000157500,ENSG00000125818,0,0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000131153,ENSG00000165916,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000213639,ENSG00000106367,0,0,0.125,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000185527,ENSG00000171989,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000184304,ENSG00000137822,0,0,0.25,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000085063,ENSG00000101811,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000198021,ENSG00000011007,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000197409,ENSG00000185519,0,0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000154582,ENSG00000134152,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000104432,ENSG00000064218,0,0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000148688,ENSG00000140263,0,0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000175787,ENSG00000183853,0,0,0.2,0.0,0,0,0,0,0,0,0,0,False,False,False,False
