ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000142192	ENSG00000142192	0.61	PPI	undirected	ADIA
ENSG00000064300	ENSG00000142192	0.40	PPI	undirected	ADIA
ENSG00000142192	ENSG00000142192	0.44	PPI	undirected	ADIA
ENSG00000078596	ENSG00000142192	0.52	PPI	undirected	ADIA
ENSG00000133246	ENSG00000142192	0.37	PPI	undirected	ADIA
ENSG00000051128	ENSG00000142192	0.52	PPI	undirected	ADIA
ENSG00000119917	ENSG00000142192	0.48	PPI	undirected	ADIA
ENSG00000154917	ENSG00000142192	0.27	PPI	undirected	ADIA
ENSG00000119917	ENSG00000142192	0.48	PPI	undirected	ADIA
ENSG00000137312	ENSG00000142192	0.58	PPI	undirected	ADIA
ENSG00000137312	ENSG00000142192	0.58	PPI	undirected	ADIA
ENSG00000137312	ENSG00000142192	0.58	PPI	undirected	ADIA
ENSG00000121691	ENSG00000142192	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000142192	0.61	PPI	undirected	ADIA
ENSG00000137486	ENSG00000142192	0.40	PPI	undirected	ADIA
ENSG00000171867	ENSG00000142192	0.64	PPI	undirected	ADIA
ENSG00000171867	ENSG00000142192	0.44	PPI	undirected	ADIA
ENSG00000127445	ENSG00000142192	0.40	PPI	undirected	ADIA
ENSG00000171867	ENSG00000142192	0.40	PPI	undirected	ADIA
ENSG00000127445	ENSG00000142192	0.40	PPI	undirected	ADIA
ENSG00000072506	ENSG00000142192	0.63	PPI	undirected	ADIA
ENSG00000142192	ENSG00000142192	0.61	PPI	undirected	ADIA
ENSG00000137801	ENSG00000142192	0.44	PPI	undirected	ADIA
ENSG00000138190	ENSG00000142192	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000142192	0.61	PPI	undirected	ADIA
ENSG00000105982	ENSG00000142192	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000142192	0.61	PPI	undirected	ADIA
ENSG00000138449	ENSG00000142192	0.59	PPI	undirected	ADIA
