ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000137486	ENSG00000100462	0.35	PPI	undirected	SIA
ENSG00000134698	ENSG00000100462	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000100462	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000100462	0.35	PPI	undirected	SIA
ENSG00000126070	ENSG00000100462	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000100462	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000109062	0.81	PPI	undirected	SIA
ENSG00000159023	ENSG00000147044	0.44	PPI	undirected	SIA
ENSG00000125968	ENSG00000147044	0.51	PPI	undirected	SIA
ENSG00000125968	ENSG00000147044	0.51	PPI	undirected	SIA
ENSG00000169439	ENSG00000147044	0.53	PPI	undirected	SIA
ENSG00000136535	ENSG00000147044	0.37	PPI	undirected	SIA
ENSG00000089169	ENSG00000147044	0.58	PPI	undirected	SIA
ENSG00000169439	ENSG00000147044	0.53	PPI	undirected	SIA
ENSG00000001626	ENSG00000129219	0.35	PPI	undirected	SIA
ENSG00000137486	ENSG00000118680	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000058272	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000058272	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000058272	0.35	PPI	undirected	SIA
ENSG00000188486	ENSG00000152795	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000082898	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000082898	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000082898	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000082898	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000082898	0.35	PPI	undirected	SIA
ENSG00000096384	ENSG00000082898	0.35	PPI	undirected	SIA
ENSG00000160691	ENSG00000148396	0.35	PPI	undirected	SIA
ENSG00000156603	ENSG00000163714	0.35	PPI	undirected	SIA
ENSG00000141026	ENSG00000163714	0.35	PPI	undirected	SIA
ENSG00000063322	ENSG00000163714	0.35	PPI	undirected	SIA
ENSG00000198399	ENSG00000078269	0.37	PPI	undirected	SIA
ENSG00000161203	ENSG00000206560	0.35	PPI	undirected	SIA
ENSG00000165029	ENSG00000132694	0.40	PPI	undirected	SIA
ENSG00000141480	ENSG00000132694	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000213341	0.56	PPI	undirected	SIA
ENSG00000141480	ENSG00000213341	0.56	PPI	undirected	SIA
ENSG00000113916	ENSG00000175324	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000082074	0.35	PPI	undirected	SIA
ENSG00000117560	ENSG00000082074	0.44	PPI	undirected	SIA
ENSG00000111276	ENSG00000196911	0.72	PPI	undirected	SIA
ENSG00000111276	ENSG00000196911	0.72	PPI	undirected	SIA
ENSG00000111276	ENSG00000196911	0.72	PPI	undirected	SIA
ENSG00000177885	ENSG00000163466	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000111229	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000171453	0.35	PPI	undirected	SIA
ENSG00000137486	ENSG00000171453	0.35	PPI	undirected	SIA
ENSG00000137486	ENSG00000171453	0.35	PPI	undirected	SIA
ENSG00000099942	ENSG00000188313	0.37	PPI	undirected	SIA
ENSG00000104695	ENSG00000204220	0.35	PPI	undirected	SIA
ENSG00000113916	ENSG00000186416	0.35	PPI	undirected	SIA
ENSG00000099942	ENSG00000130702	0.37	PPI	undirected	SIA
ENSG00000001626	ENSG00000090054	0.35	PPI	undirected	SIA
ENSG00000113916	ENSG00000100596	0.35	PPI	undirected	SIA
ENSG00000134640	ENSG00000115241	0.35	PPI	undirected	SIA
ENSG00000110395	ENSG00000165458	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000165458	0.60	PPI	undirected	SIA
ENSG00000105647	ENSG00000165458	0.35	PPI	undirected	SIA
ENSG00000154127	ENSG00000165458	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000165458	0.60	PPI	undirected	SIA
ENSG00000167193	ENSG00000165458	0.35	PPI	undirected	SIA
ENSG00000075624	ENSG00000100353	0.40	PPI	undirected	SIA
ENSG00000096384	ENSG00000147677	0.35	PPI	undirected	SIA
ENSG00000162946	ENSG00000147677	0.63	PPI	undirected	SIA
ENSG00000134698	ENSG00000133704	0.58	PPI	undirected	SIA
ENSG00000126070	ENSG00000133704	0.64	PPI	undirected	SIA
ENSG00000126070	ENSG00000133704	0.64	PPI	undirected	SIA
ENSG00000123908	ENSG00000133704	0.69	PPI	undirected	SIA
ENSG00000126070	ENSG00000133704	0.64	PPI	undirected	SIA
ENSG00000134698	ENSG00000133704	0.58	PPI	undirected	SIA
ENSG00000123908	ENSG00000133704	0.69	PPI	undirected	SIA
ENSG00000134698	ENSG00000133704	0.58	PPI	undirected	SIA
ENSG00000092847	ENSG00000133704	0.52	PPI	undirected	SIA
ENSG00000092847	ENSG00000133704	0.52	PPI	undirected	SIA
ENSG00000126070	ENSG00000133704	0.64	PPI	undirected	SIA
ENSG00000123908	ENSG00000133704	0.69	PPI	undirected	SIA
ENSG00000137486	ENSG00000117877	0.35	PPI	undirected	SIA
ENSG00000137486	ENSG00000117877	0.35	PPI	undirected	SIA
ENSG00000188486	ENSG00000072682	0.35	PPI	undirected	SIA
ENSG00000177885	ENSG00000162704	0.35	PPI	undirected	SIA
ENSG00000137486	ENSG00000162704	0.35	PPI	undirected	SIA
ENSG00000133398	ENSG00000144231	0.35	PPI	undirected	SIA
ENSG00000063322	ENSG00000144231	0.35	PPI	undirected	SIA
ENSG00000105085	ENSG00000144231	0.53	PPI	undirected	SIA
ENSG00000156603	ENSG00000144231	0.53	PPI	undirected	SIA
ENSG00000141026	ENSG00000144231	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000109606	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000109606	0.35	PPI	undirected	SIA
ENSG00000205726	ENSG00000151693	0.37	PPI	undirected	SIA
ENSG00000177885	ENSG00000092621	0.35	PPI	undirected	SIA
ENSG00000154997	ENSG00000108387	0.37	PPI	undirected	SIA
ENSG00000198087	ENSG00000123388	0.37	PPI	undirected	SIA
ENSG00000177885	ENSG00000167657	0.35	PPI	undirected	SIA
ENSG00000117560	ENSG00000196220	0.44	PPI	undirected	SIA
ENSG00000091129	ENSG00000165868	0.37	PPI	undirected	SIA
ENSG00000141480	ENSG00000135341	0.35	PPI	undirected	SIA
ENSG00000188486	ENSG00000125944	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000125944	0.35	PPI	undirected	SIA
ENSG00000141026	ENSG00000155868	0.53	PPI	undirected	SIA
ENSG00000105085	ENSG00000155868	0.71	PPI	undirected	SIA
ENSG00000133398	ENSG00000155868	0.75	PPI	undirected	SIA
ENSG00000156603	ENSG00000155868	0.64	PPI	undirected	SIA
ENSG00000063322	ENSG00000155868	0.35	PPI	undirected	SIA
ENSG00000133398	ENSG00000155868	0.75	PPI	undirected	SIA
ENSG00000155111	ENSG00000155868	0.56	PPI	undirected	SIA
ENSG00000101336	ENSG00000115935	0.40	PPI	undirected	SIA
ENSG00000101336	ENSG00000115935	0.40	PPI	undirected	SIA
ENSG00000101336	ENSG00000115935	0.40	PPI	undirected	SIA
ENSG00000128245	ENSG00000118689	0.56	PPI	undirected	SIA
ENSG00000010810	ENSG00000213658	0.44	PPI	undirected	SIA
ENSG00000117560	ENSG00000140368	0.70	PPI	undirected	SIA
ENSG00000146648	ENSG00000184575	0.35	PPI	undirected	SIA
ENSG00000104067	ENSG00000130402	0.60	PPI	undirected	SIA
ENSG00000177885	ENSG00000130402	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000102241	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000102241	0.35	PPI	undirected	SIA
ENSG00000029725	ENSG00000166747	0.51	PPI	undirected	SIA
ENSG00000198794	ENSG00000135823	0.35	PPI	undirected	SIA
ENSG00000171867	ENSG00000143479	0.44	PPI	undirected	SIA
