Gene1,Gene2,Int Alz PPI(d),Int Alz PPI(j),Int all PPI(d),Int all PPI(j),CoExp(d),CoExp(j),Int syn(d),Int syn(j),Int Par PPI(d),Int Par PPI(j),Dif Co(d),Dif Co(j),Alz ptw 1,Alz ptw 2,Alz DISEASES 1,Alz DISEASES 2
ENSG00000142192,ENSG00000075624,1.0,0.02631578947368421,0.3333333333333333,0.0,0,0,1.0,0.03937007874015748,0.3333333333333333,0.0,0,0,True,False,True,True
ENSG00000142192,ENSG00000109846,1.0,0.02666666666666667,0.3333333333333333,0.0,0,0,1.0,0.041666666666666664,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000196262,1.0,0.02666666666666667,0.3333333333333333,0.0,0,0,1.0,0.038461538461538464,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000262655,1.0,0.05333333333333334,0,0,0,0,0,0,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000105982,1.0,0.07608695652173914,0.25,0.0,0,0,0,0,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000105723,1.0,0.04,0.25,0.0,0,0,1.0,0.0625,1.0,0.17647058823529413,0,0,True,False,True,False
ENSG00000142192,ENSG00000114841,1.0,0.02666666666666667,0,0,0,0,1.0,0.041666666666666664,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000138449,1.0,0.02631578947368421,1.0,0.07142857142857142,0,0,0,0,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000154277,1.0,0.02666666666666667,0.3333333333333333,0.0,0,0,1.0,0.041666666666666664,0,0,0,0,True,False,True,True
ENSG00000142192,ENSG00000105290,1.0,0.07894736842105263,0.25,0.0,0,0,0.3333333333333333,0.0,0.5,0.05555555555555555,0,0,True,False,True,True
ENSG00000142192,ENSG00000118137,1.0,0.02666666666666667,1.0,0.0625,0,0,1.0,0.041666666666666664,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000121653,1.0,0.02666666666666667,1.0,0.06451612903225806,0,0,1.0,0.041666666666666664,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000080815,1.0,0.052083333333333336,1.0,0.07317073170731707,0,0,1.0,0.037037037037037035,0.16666666666666666,0.0,0,0,True,True,True,True
ENSG00000142192,ENSG00000167004,1.0,0.02666666666666667,1.0,0.0625,0,0,1.0,0.041666666666666664,0.5,0.05555555555555555,0,0,True,False,True,False
ENSG00000142192,ENSG00000186868,1.0,0.05952380952380952,1.0,0.08823529411764706,0,0,1.0,0.061224489795918366,1.0,0.17391304347826086,0,0,True,True,True,True
ENSG00000142192,ENSG00000143801,1.0,0.06976744186046512,0.3333333333333333,0.0,0,0,1.0,0.041666666666666664,0,0,0,0,True,True,True,True
ENSG00000142192,ENSG00000136854,1.0,0.02666666666666667,0.25,0.0,0,0,1.0,0.041666666666666664,0.25,0.0,0,0,True,False,True,False
ENSG00000142192,ENSG00000072506,1.0,0.02666666666666667,1.0,0.06896551724137931,0,0,1.0,0.04081632653061224,0,0,0,0,True,True,True,True
ENSG00000142192,ENSG00000175899,1.0,0.06315789473684211,0.0,0.0,0,0,0,0,0,0,0,0,True,False,True,True
ENSG00000142192,ENSG00000171867,1.0,0.04,1.0,0.09375,0,0,1.0,0.021505376344086023,1.0,0.16666666666666666,0,0,True,False,True,True
ENSG00000142192,ENSG00000144619,1.0,0.04,0,0,0,0,0,0,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000138190,1.0,0.04938271604938271,0,0,0,0,0,0,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000167755,1.0,0.023809523809523808,0,0,0,0,1.0,0.03508771929824561,0,0,0,0,True,False,True,False
ENSG00000142192,ENSG00000164924,1.0,0.039473684210526314,0.5,0.02702702702702703,0,0,1.0,0.04285714285714286,0.3333333333333333,0.0,0,0,True,False,True,False
ENSG00000142192,ENSG00000105329,1.0,0.02666666666666667,1.0,0.06451612903225806,0,0,1.0,0.041666666666666664,0,0,0,0,True,False,True,True
ENSG00000142192,ENSG00000181773,1.0,0.039473684210526314,0,0,0,0,0,0,1.0,0.16666666666666666,0,0,True,False,True,False
ENSG00000142192,ENSG00000084234,1.0,0.08,0.3333333333333333,0.0,0,0,0.5,0.06,0.5,0.045454545454545456,0,0,True,False,True,True
ENSG00000185339,ENSG00000157212,1.0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000114491,ENSG00000164867,1.0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000114491,ENSG00000080815,1.0,0.06896551724137931,0,0,0,0,0,0,0,0,0,0,False,True,False,True
ENSG00000114491,ENSG00000157212,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,False,False,False,False
ENSG00000114491,ENSG00000175899,1.0,0.14814814814814814,0,0,0,0,0,0,0,0,0,0,False,False,False,True
ENSG00000182333,ENSG00000143801,1.0,0.11764705882352941,0,0,0,0,0,0,0,0,0,0,False,True,False,True
ENSG00000197102,ENSG00000143801,1.0,0.11764705882352941,1.0,0.14285714285714285,0,0,0.25,0.0,0,0,0,0,False,True,False,True
ENSG00000181029,ENSG00000175899,1.0,0.07692307692307693,0.0,0.0,0,0,0,0,0,0,0,0,False,False,False,True
ENSG00000143870,ENSG00000159363,1.0,0.046511627906976744,0.25,0.0,0,0,0,0,1.0,0.046511627906976744,0,0,False,False,False,False
ENSG00000163349,ENSG00000159363,1.0,0.046511627906976744,0.25,0.0,0,0,0,0,1.0,0.046511627906976744,0,0,False,False,False,False
