ensg1	ensg2
ENSG00000019582	ENSG00000068976
ENSG00000020129	ENSG00000036530
ENSG00000020129	ENSG00000054803
ENSG00000020129	ENSG00000072201
ENSG00000020129	ENSG00000099308
ENSG00000020129	ENSG00000104361
ENSG00000020129	ENSG00000106367
ENSG00000020129	ENSG00000114948
ENSG00000020129	ENSG00000117069
ENSG00000020129	ENSG00000118733
ENSG00000020129	ENSG00000133318
ENSG00000020129	ENSG00000134343
ENSG00000020129	ENSG00000136531
ENSG00000020129	ENSG00000136928
ENSG00000020129	ENSG00000144366
ENSG00000020129	ENSG00000149305
ENSG00000020129	ENSG00000149927
ENSG00000020129	ENSG00000149970
ENSG00000020129	ENSG00000151090
ENSG00000020129	ENSG00000152495
ENSG00000020129	ENSG00000153956
ENSG00000020129	ENSG00000154277
ENSG00000020129	ENSG00000154917
ENSG00000020129	ENSG00000154975
ENSG00000020129	ENSG00000157214
ENSG00000020129	ENSG00000162409
ENSG00000020129	ENSG00000162989
ENSG00000020129	ENSG00000164794
ENSG00000020129	ENSG00000166006
ENSG00000020129	ENSG00000166206
ENSG00000020129	ENSG00000171617
ENSG00000020129	ENSG00000172020
ENSG00000020129	ENSG00000173208
ENSG00000020129	ENSG00000176204
ENSG00000020129	ENSG00000182621
ENSG00000020129	ENSG00000189181
ENSG00000020129	ENSG00000196950
ENSG00000020129	ENSG00000197872
ENSG00000020129	ENSG00000198739
ENSG00000021300	ENSG00000055163
ENSG00000021300	ENSG00000073969
ENSG00000021300	ENSG00000100167
ENSG00000021300	ENSG00000105223
ENSG00000021300	ENSG00000166913
ENSG00000021300	ENSG00000170027
ENSG00000021300	ENSG00000185008
ENSG00000021300	ENSG00000187446
ENSG00000021355	ENSG00000157404
ENSG00000022355	ENSG00000117069
ENSG00000022355	ENSG00000154277
ENSG00000022355	ENSG00000197872
ENSG00000025423	ENSG00000048540
ENSG00000025423	ENSG00000055163
ENSG00000025423	ENSG00000073969
ENSG00000025423	ENSG00000083720
ENSG00000025423	ENSG00000100167
ENSG00000025423	ENSG00000125841
ENSG00000025423	ENSG00000127824
ENSG00000025423	ENSG00000134121
ENSG00000025423	ENSG00000136531
ENSG00000025423	ENSG00000150627
ENSG00000025423	ENSG00000154975
ENSG00000025423	ENSG00000155097
ENSG00000025423	ENSG00000157152
ENSG00000025423	ENSG00000159720
ENSG00000025423	ENSG00000162188
ENSG00000025423	ENSG00000162409
ENSG00000025423	ENSG00000166111
ENSG00000025423	ENSG00000166206
ENSG00000025423	ENSG00000166257
ENSG00000025423	ENSG00000169085
ENSG00000025423	ENSG00000185008
ENSG00000025423	ENSG00000197872
ENSG00000025423	ENSG00000198689
ENSG00000025423	ENSG00000220205
ENSG00000026025	ENSG00000068976
ENSG00000026508	ENSG00000189056
ENSG00000027697	ENSG00000068976
ENSG00000027697	ENSG00000081320
ENSG00000027697	ENSG00000144908
ENSG00000027697	ENSG00000167703
ENSG00000034510	ENSG00000100884
ENSG00000034510	ENSG00000101198
